year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2018,AUS,dpex,10,0,10,10
2019,AUS,dpex,10,0,10,10
2017,BRA,dpex,10,0,10,10
2018,BRA,dpex,10,0,10,10
2019,BRA,dpex,10,0,10,10
2017,COD,dpex,10,0,10,10
2018,COD,dpex,10,0,10,10
2019,COD,dpex,10,0,10,10
2018,COK,dpex,10,0,10,10
2019,COK,dpex,10,0,10,10
2017,FJI,dpex,10,0,10,10
2018,FJI,dpex,10,0,10,10
2019,FJI,dpex,10,0,10,10
2017,GBR,dpex,10,0,10,10
2018,GBR,dpex,10,0,10,10
2019,GBR,dpex,10,0,10,10
2018,GUM,dpex,10,0,10,10
2019,GUM,dpex,10,0,10,10
2017,JOR,dpex,8.313653,1.172225,6.8132048,9.8141012
2018,JOR,dpex,8.9487219,.49242765,8.3184147,9.5790291
2019,JOR,dpex,9.6999683,.53363824,9.0169115,10.383025
2017,KAZ,dpex,10,0,10,10
2018,KAZ,dpex,10,0,10,10
2019,KAZ,dpex,10,0,10,10
2017,KGZ,dpex,10,0,10,10
2018,KGZ,dpex,10,0,10,10
2019,KGZ,dpex,10,0,10,10
2017,KOR,dpex,10,0,10,10
2018,KOR,dpex,10,0,10,10
2019,KOR,dpex,10,0,10,10
2017,LBR,dpex,10,0,10,10
2018,LBR,dpex,10,0,10,10
2019,LBR,dpex,10,0,10,10
2017,MEX,dpex,10,0,10,10
2018,MEX,dpex,10,0,10,10
2019,MEX,dpex,10,0,10,10
2018,MHL,dpex,10,0,10,10
2019,MHL,dpex,10,0,10,10
2017,MOZ,dpex,10,0,10,10
2018,MOZ,dpex,10,0,10,10
2019,MOZ,dpex,10,0,10,10
2018,NCL,dpex,10,0,10,10
2019,NCL,dpex,10,0,10,10
2018,NIU,dpex,10,0,10,10
2019,NIU,dpex,10,0,10,10
2018,MNP,dpex,10,0,10,10
2019,MNP,dpex,10,0,10,10
2017,NPL,dpex,10,0,10,10
2018,NPL,dpex,10,0,10,10
2019,NPL,dpex,10,0,10,10
2018,NRU,dpex,10,0,10,10
2019,NRU,dpex,10,0,10,10
2017,NZL,dpex,10,0,10,10
2018,NZL,dpex,10,0,10,10
2019,NZL,dpex,10,0,10,10
2018,PNG,dpex,10,0,10,10
2019,PNG,dpex,10,0,10,10
